Basin,DS_Node,2018,2020,2030,2040,2050,2060,2070,,,,,,,,,,
Atlantic Bv - 9380,,156570.41,162016.4579,188656.1684,194269.6526,194269.6526,194269.6526,194269.6526,,,,,,,,,,
Agave Rd - 10150,,322403.71,332904.4791,382157.9796,389690.079,389690.079,389690.079,389690.079,,,,,,,,,,
Tresca Rd - 420,,532557.38,558266.6015,587500.1793,587500.1793,587500.1793,587500.1793,587500.1793,,,,,,,,,,
Holiday Rd S - 7834,,2588889.48,2724744.186,2862718.631,2862718.631,2862718.631,2862718.631,2862718.631,,,,,,,,,,
Bowlan St N - 544,,411682.15,430314.741,457427.4609,457427.4609,457427.4609,457427.4609,457427.4609,,,,,,,,,,
Mill Creek Rd - 1030,,442475.72,691490.3544,1934770.798,2580815.819,2580815.819,2580815.819,2580815.819,,,,,,,,,,
Outfall,,0,0,0,0,0,0,0,,,,,,,,,,
Monterey,,2799661.34,2816673.87,2904288.68,2939431.09,3015245.64,3080563.85,3145882.07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
