Basin,DS_Node,Current,2020,2030,2040,Build-Out
103rd,,0.44,0.44,0.44,0.44,0.44
Alachua Bv,,0.54,0.55,0.57,0.59,0.64
Lenox,,1.26,1.4,1.7,1.81,1.84
118th St,,0.27,0.27,0.27,0.27,0.27
Springtree,,0.32,0.32,0.32,0.32,0.32
Timuquana - 4881,,0.68,0.69,0.69,0.7,0.7
Timuquana - 5565,,0.22,0.22,0.22,0.22,0.23
Wesconnett,,0.25,0.26,0.26,0.26,0.26
Wilson,,1.37,1.37,1.39,1.41,1.44
Acanthus,,0.39,0.39,0.4,0.4,0.4
Argyle - East,,0.73,0.74,0.78,0.81,0.87
Argyle - West,,0.48,0.49,0.52,0.54,0.58
Brannan Field,,0.31,0.31,0.31,0.31,0.31
Oakleaf,,0.42,0.47,0.56,0.65,1.11
Blanding,,1.17,1.28,1.3,1.3,1.3
Bent Creek,,0.14,0.14,0.15,0.15,0.17
Cecil Field,,0.1,0.1,0.1,0.1,0.1
Herlong,,0.03,0.03,0.04,0.04,0.04
JCCC,,0.04,0.08,0.17,0.22,0.27
Fury Dr,,0.34,0.34,0.34,0.34,0.34
Maxville,,0.14,0.14,0.18,0.24,1.72
No Road,,0.42,0.45,0.5,0.52,0.54
Normandy,,0.58,0.85,1.37,1.51,1.51
Parkland,,0.16,0.18,0.23,0.26,0.28
Tree Farm,,0,0,0,0,0.11
Collins Rd,,0.15,0.18,0.19,0.19,0.19
Morse Av,,0.34,0.42,0.43,0.43,0.44
NAS,,0,0,0.02,0.05,0.19
Ricker Rd,,0.37,0.37,0.4,0.42,0.44
Shindler Dr,,0.42,0.45,0.53,0.61,0.8
Tampico,,0.69,0.7,0.7,0.7,0.71
Argyle Forest Bv,,0,0,0,0,0
